BC:34:00:E0:00:00/28	LLDTechn	LLD Technology Ltd.
CC:22:37:A0:00:00/28	shenzhen	shenzhen zonglian network technology limited
CC:22:37:B0:00:00/28	Tolomati	Tolomatic, Inc.
CC:22:37:C0:00:00/28	HebeiZHS	Hebei ZHSF Technology Co.,Ltd.
CC:22:37:D0:00:00/28	Shenzhen	Shenzhen Hooenergy Technology Co.,Ltd
CC:22:37:E0:00:00/28	Manufact	Manufacturas Y Transformados Ab, S.L.
CC:24:2E	Shenzhen	Shenzhen SuperElectron Technology Co.,Ltd.
CC:25:EF	Apple	Apple, Inc.
CC:26:2D	Verifi	Verifi, LLC
CC:29:BD	zte	zte corporation
CC:29:F5	Apple	Apple, Inc.
CC:2A:80	Micro-Bi	Micro-Biz intelligence solutions Co.,Ltd
CC:2C:83	DarkMatt	DarkMatter L.L.C
CC:2D:1B	Sfr
CC:2D:21	TendaTec	Tenda Technology Co.,Ltd.Dongguan branch
CC:2D:83	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
CC:2D:8C	LgElectr	Lg Electronics Inc
CC:2D:B7	Apple	Apple, Inc.
CC:2D:E0	Routerbo	Routerboard.com
CC:2F:71	IntelCor	Intel Corporate
CC:30:80	VAIO	VAIO Corporation
CC:31:2A	HuizhouT	Huizhou Tcl Communication Electron Co.,Ltd
CC:32:96	HuaweiDe	Huawei Device Co., Ltd.
CC:32:E5	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
CC:33:31	TexasIns	Texas Instruments
CC:33:BB	Sagemcom	Sagemcom Broadband SAS
CC:34:29	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
CC:34:D7	Gewiss	Gewiss S.P.A.
CC:35:40	Technico	Technicolor CH USA Inc.
CC:35:5A	SecuGen	SecuGen Corporation
CC:37:AB	Edgecore	Edgecore Networks Corporation
CC:39:8C	Shiningt	Shiningtek
CC:3A:61	SamsungE	Samsung Electro Mechanics Co., Ltd.
CC:3A:DF	NeptuneT	Neptune Technology Group Inc.
CC:3B:27	TecnoMob	Tecno Mobile Limited
CC:3B:3E	LesterEl	Lester Electrical
CC:3B:58	Curiouse	Curiouser Products Inc
CC:3C:3F	SSDatent	SA.S.S. Datentechnik AG
CC:3D:82	IntelCor	Intel Corporate
CC:3E:5F	HewlettP	Hewlett Packard
CC:3E:79	ARRISGro	ARRIS Group, Inc.
CC:3F:1D	HMSIndus	HMS Industrial Networks SLU
CC:3F:8A	Komatsu	Komatsu Ltd.
CC:3F:EA	BAE	BAE Systems, Inc
CC:40:D0	Netgear
CC:41:8E	MSAInnov	MSA Innovation
CC:43:E3	Trump	Trump s.a.
CC:44:63	Apple	Apple, Inc.
CC:46:39	WAAV	WAAV, Inc.
CC:46:4E	SamsungE	Samsung Electronics Co.,Ltd
CC:46:D6	Cisco	Cisco Systems, Inc
CC:47:03	Intercon	Intercon Systems Co., Ltd.
CC:47:92	ASIXElec	ASIX Electronics Corporation
CC:47:BD	Rhombus	Rhombus Systems
CC:48:3A	Dell	Dell Inc.
CC:4A:E1	fourtec-	fourtec -Fourier Technologies
CC:4B:73	AMPAKTec	AMPAK Technology, Inc.
CC:4B:FB	Hellberg	Hellberg Safety AB
CC:4D:38	Carnegie	Carnegie Technologies
CC:4E:24	BrocadeC	Brocade Communications Systems LLC
CC:4E:EC	HUMAX	HUMAX Co., Ltd.
CC:4F:5C	IEEERegi	IEEE Registration Authority
CC:4F:5C:10:00:00/28	lesswire	lesswire GmbH
CC:4F:5C:20:00:00/28	MatchX	MatchX GmbH
CC:4F:5C:30:00:00/28	Shanghai	Shanghai Zenchant Electornics Co.,LTD
CC:4F:5C:40:00:00/28	SparkBio	Spark Biomedical
CC:4F:5C:50:00:00/28	Kymati	Kymati GmbH
CC:4F:5C:60:00:00/28	Watertec	Watertech S.p.A.
CC:4F:5C:70:00:00/28	SmithsUS	Smiths US Innovation LLC
CC:4F:5C:80:00:00/28	Feelmore	Feelmore Labs
CC:4F:5C:90:00:00/28	Dtrovisi	Dtrovision
CC:4F:5C:A0:00:00/28	Az-Techn	Az-Technology Sdn Bhd
CC:4F:5C:B0:00:00/28	Ontex	Ontex BV
CC:4F:5C:C0:00:00/28	BeijingC	Beijing Cotytech Technology Co.,LTD.
CC:4F:5C:D0:00:00/28	BeijingN	Beijing Neutron Technology CO.,LTD.
CC:4F:5C:E0:00:00/28	BeijingT	Beijing Techao Weijia Technology Limited
CC:50:0A	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
CC:50:1C	KVHIndus	KVH Industries, Inc.
CC:50:76	OcomComm	Ocom Communications, Inc.
CC:50:E3	Espressi	Espressif Inc.
CC:51:B4	Integrat	Integrated Device Technology (Malaysia) Sdn. Bhd.
CC:52:89	Shenzhen	Shenzhen Optfocus Technology.,Ltd
CC:52:AF	Universa	Universal Global Scientific Industrial Co., Ltd.
CC:53:B5	HuaweiTe	Huawei Technologies Co.,Ltd
CC:54:59	OnTimeNe	OnTime Networks AS
CC:55:AD	Rim
CC:59:3E	SensiumH	Sensium Healthcare Limited
CC:5A:53	Cisco	Cisco Systems, Inc
CC:5B:31	Nintendo	Nintendo Co.,Ltd
CC:5C:61	HuaweiDe	Huawei Device Co., Ltd.
CC:5C:75	Weightec	Weightech Com. Imp. Exp. Equip. Pesagem Ltda
CC:5C:DE	ChinaMob	China Mobile Group Device Co.,Ltd.
CC:5D:4E	ZyxelCom	Zyxel Communications Corporation
CC:5D:57	Informat	Information System Research Institute,Inc.
CC:5D:78	JTDConsu	JTD Consulting
CC:5F:BF	Topwise3	Topwise 3G Communication Co., Ltd.
CC:60:BB	EmpowerR	Empower RF Systems
CC:60:C8	Microsof	Microsoft Corporation
CC:61:E5	Motorola	Motorola Mobility LLC, a Lenovo Company
CC:64:A6	HuaweiTe	Huawei Technologies Co.,Ltd
CC:65:AD	ARRISGro	ARRIS Group, Inc.
CC:66:0A	Apple	Apple, Inc.
CC:66:18	Adtran	Adtran Inc
CC:66:B2	Nokia
CC:68:B6	TP-Link	TP-Link Corporation Limited
CC:69:B0	GlobalTr	Global Traffic Technologies, LLC
CC:69:FA	Apple	Apple, Inc.
CC:6A:10	Chamberl	The Chamberlain Group, Inc
CC:6B:1E	CloudNet	Cloud Network Technology Singapore Pte. Ltd.
CC:6B:98	MinetecW	Minetec Wireless Technologies
CC:6B:F1	SoundMas	Sound Masking Inc.
CC:6D:A0	Roku	Roku, Inc.
CC:6D:EF	TJKTieto	TJK Tietolaite Oy
CC:6E:A4	SamsungE	Samsung Electronics Co.,Ltd
CC:70:ED	Cisco	Cisco Systems, Inc
CC:71:90	VietnamP	Vietnam Post And Telecommunication Industry Technology Joint Stock Company
CC:72:0F	Viscount	Viscount Systems Inc.
CC:72:86	XianFeng	Xi'an Fengyu Information Technology Co., Ltd.
CC:73:14	HongKong	Hong Kong Wheatek Technology Limited
CC:74:98	Filmetri	Filmetrics Inc.
CC:75:E2	ARRISGro	ARRIS Group, Inc.
CC:76:69	Seetech
CC:78:5F	Apple	Apple, Inc.
CC:78:AB	TexasIns	Texas Instruments
CC:79:4A	BLUProdu	BLU Products Inc.
CC:79:CF	Shenzhen	Shenzhen Rf-Link Technology Co.,Ltd.
CC:7A:30	CMAXWire	CMAX Wireless Co., Ltd.
CC:7B:35	zte	zte corporation
CC:7B:61	Nikkiso	Nikkiso Co., Ltd.
CC:7D:37	ARRISGro	ARRIS Group, Inc.
CC:7D:5B	TelinkSe	Telink Semiconductor (Shanghai) Co., Ltd.
CC:7E:E7	Panasoni	Panasonic Corporation AVC Networks Company
CC:7F:75	Cisco	Cisco Systems, Inc
CC:7F:76	Cisco	Cisco Systems, Inc
CC:81:2A	vivoMobi	vivo Mobile Communication Co., Ltd.
CC:81:DA	PhicommS	Phicomm (Shanghai) Co., Ltd.
CC:82:7F	Advantec	Advantech Technology (CHINA) Co., Ltd.
CC:82:EB	Kyocera	Kyocera Corporation
CC:85:6C	Shenzhen	Shenzhen Mdk Digital Technology Co.,Ltd
CC:86:EC	SiliconL	Silicon Laboratories
CC:87:4A	Nokia
CC:88:26	LGInnote	LG Innotek
CC:88:C7	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
CC:89:5E	HuaweiTe	Huawei Technologies Co.,Ltd
CC:89:6C	GNHearin	GN Hearing A/S
CC:89:FD	Nokia	Nokia Corporation
CC:8C:BF	TuyaSmar	Tuya Smart Inc.
CC:8C:DA	Shenzhen	Shenzhen Wei Da Intelligent Technology Go.,Ltd
CC:8C:E3	TexasIns	Texas Instruments
CC:8E:71	Cisco	Cisco Systems, Inc
CC:90:70	Cisco	Cisco Systems, Inc
CC:90:93	HansongT	Hansong Tehnologies
CC:90:E8	Shenzhen	Shenzhen YOUHUA Technology Co., Ltd
CC:91:2B	TEConnec	TE Connectivity Touch Solutions
CC:93:4A	SierraWi	Sierra Wireless
CC:94:4A	Pfeiffer	Pfeiffer Vacuum GmbH
CC:94:70	Kinestra	Kinestral Technologies, Inc.
CC:95:D7	Vizio	Vizio, Inc
CC:96:35	LVS	LVS Co.,Ltd.
CC:96:A0	HuaweiTe	Huawei Technologies Co.,Ltd
CC:98:8B	SONYVisu	SONY Visual Products Inc.
CC:98:91	Cisco	Cisco Systems, Inc
CC:99:16	Integrat	Integrated Device Technology (Malaysia) Sdn. Bhd.
CC:9C:3E	CiscoMer	Cisco Meraki
CC:9D:A2	EltexEnt	Eltex Enterprise Ltd.
CC:9E:00	Nintendo	Nintendo Co., Ltd.
CC:9E:A2	AmazonTe	Amazon Technologies Inc.
CC:9E:CA	HMDGloba	HMD Global Oy
CC:9F:35	Transbit	Transbit Sp. z o.o.
CC:9F:7A	ChiunMai	Chiun Mai Communication Systems, Inc
CC:A0:E5	DZGMeter	DZG Metering GmbH
CC:A1:2B	TCLKingE	TCL King Electrical Appliances (Huizhou) Co., Ltd
CC:A2:19	Shenzhen	Shenzhen Along Investment Co.,Ltd
CC:A2:23	HuaweiTe	Huawei Technologies Co.,Ltd
CC:A2:60	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
CC:A3:74	Guangdon	Guangdong Guanglian Electronic Technology Co.Ltd
CC:A3:BD	ItelMobi	Itel Mobile Limited
CC:A4:62	ARRISGro	ARRIS Group, Inc.
CC:A4:AF	Shenzhen	Shenzhen Sowell Technology Co., LTD
CC:A6:14	AifaTech	Aifa Technology Corp.
CC:A7:C1	Google	Google, Inc.
CC:AB:2C	HUMAX	HUMAX Co., Ltd.
CC:AF:78	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
CC:B0:A8	HuaweiDe	Huawei Device Co., Ltd.
CC:B0:DA	LiteonTe	Liteon Technology Corporation
CC:B1:1A	SamsungE	Samsung Electronics Co.,Ltd
CC:B1:82	HuaweiTe	Huawei Technologies Co.,Ltd
CC:B2:55	D-LinkIn	D-Link International
CC:B3:AB	shenzhen	shenzhen Biocare Bio-Medical Equipment Co.,Ltd.
CC:B3:F8	FujitsuI	Fujitsu Isotec Limited
CC:B5:5A	Fraunhof	Fraunhofer ITWM
CC:B5:D1	BeijingX	Beijing Xiaomi Mobile Software Co., Ltd
CC:B6:91	NECMagnu	NECMagnusCommunications
CC:B8:88	AnBSecur	AnB Securite s.a.
CC:B8:A8	AMPAKTec	AMPAK Technology, Inc.
CC:B8:F1	EagleKin	Eagle Kingdom Technologies Limited
CC:BB:FE	HuaweiTe	Huawei Technologies Co.,Ltd
CC:BC:E3	HuaweiTe	Huawei Technologies Co.,Ltd
CC:BD:35	Steinel	Steinel GmbH
CC:BD:D3	Ultimake	Ultimaker B.V.
CC:BE:59	Calix	Calix Inc.
CC:BE:71	OptiLogi	OptiLogix BV
CC:C0:79	MurataMa	Murata Manufacturing Co., Ltd.
CC:C1:04	AppliedT	Applied Technical Systems
CC:C2:61	IEEERegi	IEEE Registration Authority
CC:C2:61:00:00:00/28	Ebiologi	Ebiologic Technology Co., Ltd.
CC:C2:61:10:00:00/28	NWL	NWL Inc.
CC:C2:61:20:00:00/28	Tecnoide	Tecnoideal Srl
CC:C2:61:30:00:00/28	Netradyn	Netradyne, Inc.
CC:C2:61:40:00:00/28	EDAGEngi	EDAG Engineering GmbH
CC:C2:61:50:00:00/28	ViperDes	Viper Design, LLC
CC:C2:61:60:00:00/28	Guardiar	Guardiar USA
CC:C2:61:70:00:00/28	AbilityE	Ability Enterprise Co., Ltd
CC:C2:61:90:00:00/28	Byterg	Byterg Llc
CC:C2:61:A0:00:00/28	Shenzhen	Shenzhen Uyesee Technology Co.,Ltd
CC:C2:61:B0:00:00/28	Winterth	Winterthur Gas & Diesel Ltd.
CC:C2:61:C0:00:00/28	NortekSe	Nortek Security & Control
CC:C2:61:D0:00:00/28	DspreadT	Dspread Technology (Beijing) Inc.
CC:C2:61:E0:00:00/28	ToongInE	Toong In Electronic Corp.
CC:C2:E0	Raisecom	Raisecom Technology CO., LTD
CC:C3:EA	Motorola	Motorola Mobility LLC, a Lenovo Company
CC:C5:0A	Shenzhen	Shenzhen Dajiahao Technology Co.,Ltd
CC:C5:E5	Dell	Dell Inc.
CC:C5:EF	Co-CommS	Co-Comm Servicios Telecomunicaciones S.L.
CC:C6:2B	Tri	Tri-Systems Corporation
CC:C7:60	Apple	Apple, Inc.
CC:C8:D7	CIASElet	CIAS Elettronica srl
CC:C9:2C	Schindle	Schindler - PORT Technology
CC:C9:5D	Apple	Apple, Inc.
CC:CC:4E	SunFount	Sun Fountainhead USA. Corp
CC:CC:81	HuaweiTe	Huawei Technologies Co.,Ltd
CC:CC:CC	SiliconL	Silicon Laboratories
CC:CD:64	SM-Elect	SM-Electronic GmbH
CC:CE:1E	AVMAudio	AVM Audiovisuelles Marketing und Computersysteme GmbH
CC:CE:40	Janteq	Janteq Corp
CC:D0:83	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
CC:D2:81	Apple	Apple, Inc.
CC:D2:9B	Shenzhen	Shenzhen Bopengfa Elec&Technology CO.,Ltd
CC:D3:1E	IEEERegi	IEEE Registration Authority
CC:D3:1E:00:00:00/28	SAMIM	SAMIM Co
CC:D3:1E:10:00:00/28	RondoBur	Rondo Burgdorf AG
CC:D3:1E:20:00:00/28	Neptune	Neptune Systems
CC:D3:1E:30:00:00/28	Ken	Ken A/S
CC:D3:1E:40:00:00/28	PJGSyste	PJG Systementwicklung GmbH
CC:D3:1E:50:00:00/28	NTmore	NTmore.Co.,Ltd
CC:D3:1E:60:00:00/28	BBPOSInt	BBPOS International Limited
CC:D3:1E:70:00:00/28	Shenzhen	Shenzhen Decnta Technology Co.,LTD.
CC:D3:1E:80:00:00/28	inoage	inoage GmbH
CC:D3:1E:90:00:00/28	SiemensM	Siemens AG, MO MLT BG
CC:D3:1E:A0:00:00/28	HaishuTe	Haishu Technology LIMITED
CC:D3:1E:B0:00:00/28	ElkProdu	Elk Products
CC:D3:1E:C0:00:00/28	NantEner	NantEnergy
CC:D3:1E:D0:00:00/28	Cujo	Cujo Llc
CC:D3:1E:E0:00:00/28	ShenZhen	ShenZhenBoryNet Co.,LTD.
CC:D3:9D	IEEERegi	IEEE Registration Authority
CC:D3:9D:00:00:00/28	Inx	Inx Co.,Ltd.
CC:D3:9D:10:00:00/28	EvokoUnl	Evoko Unlimited AB
CC:D3:9D:20:00:00/28	Continen	Continental Control Systems
CC:D3:9D:30:00:00/28	MagTarge	MagTarget LLC
CC:D3:9D:40:00:00/28	Shenzhen	Shenzhen Chenggu Technology Co., Ltd
CC:D3:9D:50:00:00/28	Shenzhen	Shenzhen Royole Technologies Co., Ltd.
CC:D3:9D:60:00:00/28	Krontech
CC:D3:9D:70:00:00/28	Glenair
CC:D3:9D:80:00:00/28	Obelisk	Obelisk Inc.
CC:D3:9D:90:00:00/28	BejingNe	Bejing Nexsec Inc.
CC:D3:9D:A0:00:00/28	Lubelski	Lubelskie Fabryki Wag FAWAG S.A.
CC:D3:9D:B0:00:00/28	Q-Branch	Q-Branch Labs, Inc.
CC:D3:9D:C0:00:00/28	Hangzhou	Hangzhou Scooper Technology Co.,Ltd.
CC:D3:9D:D0:00:00/28	Ethernit	Ethernity Networks
CC:D3:9D:E0:00:00/28	Shanghai	Shanghai tongli information technology co. LTD
CC:D3:C1	VestelEl	Vestel Elektronik San ve Tic. A.Ş.
CC:D3:E2	JiangsuY	Jiangsu Yinhe Electronics Co.,Ltd.
CC:D4:2E	Arcadyan	Arcadyan Corporation
CC:D4:A1	MitraSta	MitraStar Technology Corp.
CC:D5:39	Cisco	Cisco Systems, Inc
CC:D7:3C	HuaweiTe	Huawei Technologies Co.,Ltd
CC:D8:11	AiconnTe	Aiconn Technology Corporation
CC:D8:1F	MaipuCom	Maipu Communication Technology Co.,Ltd.
CC:D8:C1	Cisco	Cisco Systems, Inc
CC:D9:AC	IntelCor	Intel Corporate
CC:D9:E9	SCREngin	SCR Engineers Ltd.
CC:DB:04	DataRemo	DataRemote Inc.
CC:DB:93	Cisco	Cisco Systems, Inc
CC:DB:A7	Espressi	Espressif Inc.
CC:DC:55	Dragonch	Dragonchip Limited
CC:DD:58	RobertBo	Robert Bosch GmbH
CC:E0:C3	EXTENTec	EXTEN Technologies, Inc.
CC:E0:DA	BaiduOnl	Baidu Online Network Technology (Beijing) Co., Ltd
CC:E1:7F	JuniperN	Juniper Networks
CC:E1:94	JuniperN	Juniper Networks
CC:E1:D5	Buffalo	Buffalo.Inc
CC:E2:36	Hangzhou	Hangzhou Yaguan Technology Co. LTD
CC:E7:98	MySocial	My Social Stuff
CC:E7:DF	American	American Magnetics, Inc.
CC:E8:AC	SOYEATec	SOYEA Technology Co.,Ltd.
CC:EA:1C	DCONWORK	DCONWORKS Co., Ltd
CC:EB:18	Tss	Ooo "Tss"
CC:ED:21	NokiaSha	Nokia Shanghai Bell Co., Ltd.
CC:ED:4D	Cisco	Cisco Systems, Inc
CC:ED:DC	MitraSta	MitraStar Technology Corp.
CC:EE:D9	VAHLEAut	VAHLE Automation GmbH
CC:EF:03	HunanKey	Hunan Keyshare Communication Technology Co., Ltd.
CC:EF:48	Cisco	Cisco Systems, Inc
CC:F0:FD	ChinaMob	China Mobile (Hangzhou) Information Technology Co., Ltd.
CC:F3:05	Shenzhen	Shenzhen Tian Xing Chuang Zhan Electronic Co.,Ltd
CC:F3:A5	ChiMeiCo	Chi Mei Communication Systems, Inc
CC:F4:07	EukreaEl	Eukrea Electromatique Sarl
CC:F4:11	Google	Google, Inc.
CC:F5:38	3isysnet	3isysnetworks
CC:F5:5F	EFocusIn	E Focus Instruments India Private Limited
CC:F6:7A	AyeckaCo	Ayecka Communication Systems LTD
CC:F7:35	AmazonTe	Amazon Technologies Inc.
CC:F8:41	Lumewave
CC:F8:F0	XianHISU	Xi'an HISU Multimedia Technology Co.,Ltd.
CC:F9:54	Avaya	Avaya Inc
CC:F9:57	u-blox	u-blox AG
CC:F9:E4	IntelCor	Intel Corporate
CC:F9:E8	SamsungE	Samsung Electronics Co.,Ltd
CC:FA:00	LGElectr	LG Electronics (Mobile Communications)
CC:FA:66	HuaweiDe	Huawei Device Co., Ltd.
CC:FB:65	Nintendo	Nintendo Co., Ltd.
CC:FC:6D	RizTrans	Riz Transmitters
CC:FC:B1	Wireless	Wireless Technology, Inc.
CC:FD:17	TCTmobil	TCT mobile ltd
CC:FE:3C	SamsungE	Samsung Electronics Co.,Ltd
CC:FF:90	HuaweiDe	Huawei Device Co., Ltd.
D0:03:4B	Apple	Apple, Inc.
D0:03:DF	SamsungE	Samsung Electronics Co.,Ltd
D0:03:EB	TexasIns	Texas Instruments
D0:04:01	Motorola	Motorola Mobility LLC, a Lenovo Company
D0:04:92	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
D0:04:B0	SamsungE	Samsung Electronics Co.,Ltd
D0:05:2A	Arcadyan	Arcadyan Corporation
D0:05:E4	HuaweiDe	Huawei Device Co., Ltd.
D0:07:90	TexasIns	Texas Instruments
D0:07:CA	JuniperN	Juniper Networks
D0:0A:AB	Yokogawa	Yokogawa Digital Computer Corporation
D0:0D:F7	HuaweiDe	Huawei Device Co., Ltd.
D0:0E:A4	PorscheC	Porsche Cars North America
D0:0E:D9	TaicangT	Taicang T&W Electronics
D0:0F:6D	T&WElect	T&W Electronics Company
D0:12:42	BIOS	BIOS Corporation
D0:12:CB	AVMAudio	AVM Audiovisuelles Marketing und Computersysteme GmbH
D0:13:1E	SunrexTe	Sunrex Technology Corp
D0:13:FD	LGElectr	LG Electronics (Mobile Communications)
D0:14:11	IEEERegi	IEEE Registration Authority
D0:14:11:00:00:00/28	EkkoSens	EkkoSense Ltd
D0:14:11:10:00:00/28	Private
D0:14:11:20:00:00/28	EvocoLab	Evoco Labs CO., LTD
D0:14:11:30:00:00/28	iLOQ	iLOQ Oy
D0:14:11:40:00:00/28	powerall
D0:14:11:60:00:00/28	Ahnnet
D0:14:11:70:00:00/28	Realwave	Realwave Inc.
D0:14:11:80:00:00/28	VideoSec	Video Security, Inc.
D0:14:11:90:00:00/28	Airthing	Airthings
D0:14:11:A0:00:00/28	AbbEvi	Abb Evi Spa
D0:14:11:B0:00:00/28	CYLTek	CYLTek Limited
D0:14:11:C0:00:00/28	ShenZhen	Shen Zhen HaiHe Hi-Tech Co., Ltd
D0:14:11:D0:00:00/28	Guangdon	Guangdong Shiqi Manufacture Co., Ltd.
D0:14:11:E0:00:00/28	Tecnosof	Tecnosoft srl
D0:15:4A	zte	zte corporation
D0:15:A6	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
D0:16:7C	eero	eero inc.
D0:16:B4	HuaweiTe	Huawei Technologies Co.,Ltd
D0:17:69	MurataMa	Murata Manufacturing Co., Ltd.
D0:17:6A	SamsungE	Samsung Electronics Co.,Ltd
D0:17:C2	ASUSTekC	ASUSTek COMPUTER INC.
D0:19:6A	Ciena	Ciena Corporation
D0:1A:A7	UniPrint
D0:1B:1F	Ohsung
D0:1B:49	SamsungE	Samsung Electronics Co.,Ltd
D0:1C:3C	TecnoMob	Tecno Mobile Limited
D0:1C:BB	BeijingC	Beijing Ctimes Digital Technology Co., Ltd.
D0:1E:1D	SaiNXTTe	SaiNXT Technologies LLP
D0:21:AC	Yohana
D0:21:F9	Ubiquiti	Ubiquiti Networks Inc.
D0:22:12	IEEERegi	IEEE Registration Authority
D0:22:12:00:00:00/28	SpiritIT	Spirit IT B.V.
D0:22:12:10:00:00/28	Aim
D0:22:12:20:00:00/28	RHENAC	RHENAC Systems GmbH
D0:22:12:40:00:00/28	Viatron	Viatron GmbH
D0:22:12:50:00:00/28	Shanghai	Shanghai Routech Co., Ltd
D0:22:12:60:00:00/28	UranoInd	Urano Industria De Balancas E Equipamentos Ltda
D0:22:12:70:00:00/28	Cliptech	Cliptech Industria e Comercio Ltda
D0:22:12:80:00:00/28	Shenzhen	Shenzhen SIC Technology. Co., Ltd.
D0:22:12:90:00:00/28	UabSalda	Uab "Salda"
D0:22:12:A0:00:00/28	GNS	GNS-GmbH
D0:22:12:B0:00:00/28	Schleife	Schleifenbauer Holding BV
D0:22:12:C0:00:00/28	XperioLa	Xperio Labs Ltd.
D0:22:12:D0:00:00/28	Shenzhen	Shenzhen Zhongxi Security Co.,Ltd
D0:22:12:E0:00:00/28	uLux	u::Lux GmbH
D0:22:12:F0:00:00/28	Private
D0:22:BE	SamsungE	Samsung Electro-Mechanics(Thailand)
D0:23:DB	Apple	Apple, Inc.
D0:25:16	MercuryC	Mercury Communication Technologies Co.,Ltd.
D0:25:44	SamsungE	Samsung Electro-Mechanics(Thailand)
D0:25:98	Apple	Apple, Inc.
D0:27:88	HonHaiPr	Hon Hai Precision Ind. Co.,Ltd.
D0:28:BA	RealmeCh	Realme Chongqing MobileTelecommunications Corp Ltd
D0:2B:20	Apple	Apple, Inc.
D0:2C:45	littleBi	littleBits Electronics, Inc.
D0:2D:B3	HuaweiTe	Huawei Technologies Co.,Ltd
D0:2E:AB	TexasIns	Texas Instruments
D0:31:10	IngenicS	Ingenic Semiconductor Co.,Ltd
D0:31:69	SamsungE	Samsung Electronics Co.,Ltd
D0:33:11	Apple	Apple, Inc.
D0:35:E5	EMMicroe	EM Microelectronic
D0:37:42	YulongCo	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
D0:37:45	Tp-LinkT	Tp-Link Technologies Co.,Ltd.
D0:37:61	TexasIns	Texas Instruments
D0:39:72	TexasIns	Texas Instruments
D0:39:B3	ARRISGro	ARRIS Group, Inc.
D0:39:EA	NetApp
D0:3C:1F	IntelCor	Intel Corporate
D0:3D:52	AvaSecur	Ava Security Limited
D0:3D:C3	AQ	AQ Corporation
D0:3E:5C	HuaweiTe	Huawei Technologies Co.,Ltd
D0:3E:7D	ChipseaT	Chipsea Technologies (Shenzhen) Corp.
D0:3F:27	WyzeLabs	Wyze Labs Inc
D0:3F:AA	Apple	Apple, Inc.
D0:40:EF	MurataMa	Murata Manufacturing Co., Ltd.
D0:41:C9	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
D0:43:1E	Dell	Dell Inc.
D0:46:DC	Southwes	Southwest Research Institute
D0:47:C1	ElmaElec	Elma Electronic AG
D0:48:F3	DATTUS	DATTUS Inc
D0:49:7C	OnePlusT	OnePlus Technology (Shenzhen) Co., Ltd
D0:49:8B	ZoomServ	Zoom Server
D0:4C:C1	SINTRONE	SINTRONES Technology Corp.
D0:4D:2C	Roku	Roku, Inc.
D0:4D:C6	ArubaaHe	Aruba, a Hewlett Packard Enterprise Company
D0:4E:50	Mobiwire	Mobiwire Mobiles (NingBo) Co., LTD
D0:4F:7E	Apple	Apple, Inc.
D0:50:99	ASRockIn	ASRock Incorporation
D0:51:57	LEAXArki	LEAX Arkivator Telecom
D0:51:62	Sony	Sony Corporation
D0:52:A8	Physical	Physical Graph Corporation
D0:53:49	LiteonTe	Liteon Technology Corporation
D0:54:2D	Cambridg	Cambridge Industries(Group) Co.,Ltd.
D0:54:75	SAVICont	SAVI Controls
D0:55:09	Nintendo	Nintendo Co.,Ltd
D0:55:B2	Integrat	Integrated Device Technology (Malaysia) Sdn. Bhd.
D0:56:BF	Amosense
D0:57:4C	Cisco	Cisco Systems, Inc
D0:57:7B	IntelCor	Intel Corporate
D0:57:85	Pantech	Pantech Co., Ltd.
D0:57:94	Sagemcom	Sagemcom Broadband SAS
D0:57:A1	WermaSig	Werma Signaltechnik GmbH & Co. KG
D0:58:75	ActiveCo	Active Control Technology Inc.
D0:58:A8	zte	zte corporation
D0:58:C0	QingdaoH	Qingdao Haier Multimedia Limited.
D0:58:FC	SkyUk	Sky Uk Limited
D0:59:19	zte	zte corporation
D0:59:95	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
D0:59:C3	CeraMicr	CeraMicro Technology Corporation
D0:59:E4	SamsungE	Samsung Electronics Co.,Ltd
D0:5A:00	Technico	Technicolor CH USA Inc.
D0:5A:0F	I-BtDigi	I-Bt Digital Co.,Ltd
D0:5A:F1	Shenzhen	Shenzhen Pulier Tech CO.,Ltd
D0:5A:FD	RealmeCh	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
D0:5B:A8	zte	zte corporation
D0:5C:7A	Sarturad	Sartura d.o.o.
D0:5F:64	IEEERegi	IEEE Registration Authority
D0:5F:64:00:00:00/28	Decathlo	Decathlon SA
D0:5F:64:10:00:00/28	Hangzhou	Hangzhou ToupTek Photonics Co., Ltd.
D0:5F:64:20:00:00/28	Shanghai	Shanghai Zhongmi Communication Technology Co.,Ltd
D0:5F:64:30:00:00/28	HuaqinTe	Huaqin Telecom Hong Kong Ltd
D0:5F:64:40:00:00/28	wallbe	wallbe GmbH
D0:5F:64:50:00:00/28	AtollSol	Atoll Solutions Private Limited
D0:5F:64:60:00:00/28	CyrusTec	Cyrus Technology GmbH
